Ref,Project name,Country,Date online,Decomission date,Status,Technology,Technology_details,Technology_electricity,Technology_electricity_details,Product,EndUse_Refining,EndUse_Ammonia,EndUse_Methanol,EndUse_Iron&Steel,EndUse_Other Ind,EndUse_Mobility,EndUse_Power,EndUse_Grid inj.,EndUse_CHP,EndUse_Domestic heat,EndUse_Biofuels,EndUse_Synfuels,EndUse_CH4 grid inj.,EndUse_CH4 mobility,Announced Size,Capacity_MWel,Capacity_Nm³ H₂/h,Capacity_kt H2/y,Capacity_t CO₂ captured/y,"IEA zero-carbon estimated normalized capacity
[Nm³ H₂/hour]",References,LOWE_CF
2429,Ren-Gas  P2X Kotka,FIN,2026.0,,Feasibility study,Other Electrolysis,Unknown PtX,Grid,,CH4,,,,,1.0,1.0,,,,,,,,,40 MW or 35 kt e-CH4/y,40.0,8888.888888888889,6.930133333333333,,8888.888888888889,[2053] [2055],0.57
2430,Ren-Gas  P2X Lahti,FIN,2026.0,,Feasibility study,Other Electrolysis,Unknown PtX,Grid,,CH4,,,,,1.0,1.0,,,,,,,,,120MW,120.0,26666.666666666668,20.7904,,26666.666666666668,[2054] [2055],0.57
2431,Ren-Gas  P2X Tampere,FIN,2025.0,,Feasibility study,Other Electrolysis,Unknown PtX,Grid,,H2,,,,,1.0,1.0,,,,,,,,,60MW,60.0,13333.333333333334,10.3952,,13333.333333333334,[2055],0.57
2432,P2X Solutions Joensuu,FIN,2026.0,,Feasibility study,Other Electrolysis,Unknown PtX,Dedicated renewable,Unknown,H2,,,,,1.0,1.0,,,,,,,,,40MW,40.0,8888.888888888889,6.930133333333333,,8888.888888888889,[2056],0.5
2433,Ren-Gas  P2X Mikkeli,FIN,2026.0,,Feasibility study,Other Electrolysis,Unknown PtX,Grid,,H2,,,,,1.0,1.0,,,,,,,,,40MW,40.0,8888.888888888889,6.930133333333333,,8888.888888888889,[2057] [2055],0.57
2434,Ren-Gas  P2X Pori,FIN,2026.0,,Feasibility study,Other Electrolysis,Unknown PtX,Grid,,H2,,,,,1.0,1.0,,,,,,,,,20MW,20.0,4444.444444444444,3.4650666666666665,,4444.444444444444,[2058] [2055],0.57
2435,UPM Kymmene Biorefinery Green Hydrogen production​,FIN,2025.0,,Feasibility study,Other Electrolysis,Unknown PtX,Grid,,H2,,,,,,1.0,,,,,,1.0,,,20MW,20.0,4444.444444444444,3.4650666666666665,,4444.444444444444,[2060],0.57
2437,Flexens Lempäälä,FIN,2025.0,,Feasibility study,Other Electrolysis,Unknown PtX,Grid,,H2,,,,,,1.0,,,,,,,,,2.5MW,2.5,555.5555555555555,0.4331333333333333,,555.5555555555555,[2059],0.57
2438,3H2 - Helsinki Hydrogen Hub,FIN,2024.0,,Feasibility study,Other Electrolysis,Unknown PtX,Grid,,H2,,,,,1.0,1.0,,,,,,,,,2MW,2.0,444.44444444444446,0.3465066666666667,,444.44444444444446,[2060],0.57
2442,Sines GH2 Solar,PRT,2024.0,,FID/Construction,PEM,,Dedicated renewable,Solar PV,H2,,,,,,1.0,1.0,,,,,,,,4 MW,4.0,769.2307692307693,0.599723076923077,,769.2307692307693,[2065],0.3
2456,Badarpur New Delhi H2,IND,2027.0,,Feasibility study,Other Electrolysis,Unknown PtX,Dedicated renewable,Unknown,H2,,,,,,1.0,,,,,,,,,94.9 t H2/y production,1.0955056179775282,243.44569288389516,0.18980000000000002,,243.44569288389516,Data from Indian Industry Association,0.5
2459,Chamba H2,IND,2026.0,,Feasibility study,Other Electrolysis,Unknown PtX,Dedicated renewable,Unknown,H2,,,,,,1.0,,,,,,,,,7.3 t H2/y production,0.08426966292134831,18.726591760299627,0.0146,,18.726591760299627,Data from Indian Industry Association,0.5
2460,Chitrakoot H2,IND,2026.0,,Concept,Other Electrolysis,Unknown PtX,Dedicated renewable,Unknown,H2,,,,,1.0,1.0,1.0,1.0,1.0,,,,,,129.3 kt H2/y production,1492.6119747575806,331691.54994612903,258.6,,331691.54994612903,Data from Indian Industry Association,0.5
2462,Gwalpahari Solar-Hydrogen demonstration,IND,2015.0,,Operational,Other Electrolysis,Unknown PtX,Dedicated renewable,Unknown,H2,,,,,1.0,1.0,1.0,1.0,1.0,,,,,,19.4 t H2/y production,0.22394951516084344,49.76655892463188,0.038799999999999994,,49.76655892463188,Data from Indian Industry Association,0.5
2465,Indore Waste to H2,IND,2026.0,,Feasibility study,Biomass,Waste gasification,,,H2,,,,,1.0,1.0,1.0,1.0,1.0,,,,,,52.56 kt H2/y production,,74906.36704119851,58.4,,74906.36704119851,Data from Indian Industry Association,0.9
2468,JSW green hydrogen,IND,2026.0,,Feasibility study,Other Electrolysis,Unknown PtX,Dedicated renewable,Unknown,H2,,,,,1.0,1.0,1.0,1.0,1.0,,,,,,3.65 t H2/y production,0.042134831460674156,9.363295880149813,0.0073,,9.363295880149813,Data from Indian Industry Association,0.5
2471,Kochi Green Hydrogen (KGH2) Hub,IND,2027.0,,Feasibility study,Other Electrolysis,Unknown PtX,Dedicated renewable,Unknown,H2,,,,,1.0,1.0,,,,,,,,,0.73 t H2/y production,0.008426966292134831,1.8726591760299625,0.00146,,1.8726591760299625,Data from Indian Industry Association,0.5
2472,Larsen & Toubro/ReNew Power Project,IND,2025.0,,Concept,Other Electrolysis,Unknown PtX,Other/Unknown,Unknown,H2,,,,,1.0,1.0,1.0,1.0,1.0,,,,,,21.9 kt H2/y production,221.76227084565343,49280.50463236743,38.421052631578945,,49280.50463236743,Data from Indian Industry Association,0.57
2473,Leh H2,IND,2027.0,,Feasibility study,Other Electrolysis,Unknown PtX,Dedicated renewable,Unknown,H2,,,,,1.0,1.0,1.0,1.0,1.0,,,,,,5 kt H2/y production,57.71894720640296,12826.432712533991,10.0,,12826.432712533991,Data from Indian Industry Association,0.5
2475,Madhya Pradesh H2,IND,2040.0,,Feasibility study,Other Electrolysis,Unknown PtX,Dedicated renewable,Unknown,H2,,,,,1.0,1.0,1.0,1.0,1.0,,,,,,16.43 t H2/y production,0.1896644605202401,42.14765789338669,0.03286,,42.14765789338669,Data from Indian Industry Association,0.5
2486,Pune-Mumbai,IND,2030.0,,Feasibility study,Other Electrolysis,Unknown PtX,Other/Unknown,Unknown,H2,,,,,1.0,1.0,,,,,,,,,3650 t H2/y production,36.96037847427558,8213.417438727907,6.403508771929825,,8213.417438727907,Data from Indian Industry Association,0.57
2490,Visakhapatnam H2,IND,2025.0,,Feasibility study,Other Electrolysis,Unknown PtX,Other/Unknown,Unknown,H2,,,,,1.0,1.0,,,,,,,,,1569 t H2/y production,15.887899678394078,3530.644372976462,2.7526315789473688,,3530.644372976462,Data from Indian Industry Association,0.57
2496,Horizons Clean Hydrogen Hub ,USA,2030.0,,Feasibility study,Other Electrolysis,Unknown PtX,Grid+Renewables,,Various,,1.0,,,1.0,1.0,1.0,,,,,,,,1200MW,1200.0,266666.6666666667,207.904,,266666.6666666667,[2085][2086],0.7
2512,e-SAF France Kereauzen project,FRA,2028.0,,Feasibility study,Other Electrolysis,Unknown PtX,Other/Unknown,Unknown,Synfuels,,,,,,1.0,,,,,,1.0,,,250MW or 70 kt synfuels/y capacity,250.0,55555.55555555556,43.31333333333333,,55555.55555555556,"[2111], Platts European Gas Daily 25-09-2023",0.57
2513,E-fuels project in South Africa,ZAF,,,Concept,Other Electrolysis,Unknown PtX,Dedicated renewable,Unknown,Synfuels,,,,,,1.0,,,,,,1.0,,,1GW or 500 kt synfuels/y ,1000.0,222222.22222222225,173.25333333333333,,222222.22222222225,[2113],0.5
2522,Ratcliffe power station - H2 project - phase 1,GBR,2026.0,,Concept,Other Electrolysis,Unknown PtX,Dedicated renewable,Unknown,H2,,,,,1.0,1.0,1.0,,,,,,,,100MW,100.0,22222.222222222223,17.325333333333333,,22222.222222222223,[2129],0.5
2523,Ratcliffe power station - H2 project - phase 2,GBR,2030.0,,Concept,Other Electrolysis,Unknown PtX,Dedicated renewable,Unknown,H2,,,,,1.0,1.0,1.0,,,,,,,,500MW,400.0,88888.88888888889,69.30133333333333,,88888.88888888889,[2129],0.5
2534,Skipavika Green Ammonia - SkiGA,NOR,2026.0,,Feasibility study,Other Electrolysis,Unknown PtX,Grid+Renewables,Others/Various,Ammonia,,1.0,,,,1.0,,,,,,,,,130MW,130.0,28888.88888888889,22.522933333333334,,28888.88888888889,Platts European Gas Daily 29-08-2023,0.7
2544,H2 plant - St Lawrence Hydro Production,USA,2027.0,,Concept,Other Electrolysis,Unknown PtX,Dedicated renewable,Hydropower,H2,,,,,,1.0,,,,,,,,,35t H2/day production,92.16994382022472,20482.209737827718,15.96875,,20482.209737827718,[2148],0.8
2549,EWE hydrogen plant North Sea coast,DEU,2026.0,,Concept,Other Electrolysis,Unknown PtX,Other/Unknown,Unknown,H2,,,,,1.0,1.0,,,,,,,,,320MW,320.0,71111.11111111111,55.441066666666664,,71111.11111111111,[2153],0.57
